scenario,ranking_type,rank,algorithm,score_name,score_value,first_place_metrics,tied_first_place_metrics
normal,balanced,1,astar,balanced_score,0.94,0,0
normal,balanced,2,fifo,balanced_score,0.863333,0,0
normal,balanced,3,simulated_annealing,balanced_score,0.853333,0,0
normal,balanced,4,cpsat,balanced_score,0.78,0,0
normal,balanced,5,greedy,balanced_score,0.756667,0,0
normal,clinical,1,astar,total_score,30,6,5
normal,clinical,2,simulated_annealing,total_score,29,5,5
normal,clinical,3,cpsat,total_score,27,3,3
normal,clinical,4,fifo,total_score,26,3,3
normal,clinical,5,greedy,total_score,25,3,3
normal,operational,1,astar,total_score,35,7,4
normal,operational,2,simulated_annealing,total_score,31,4,4
normal,operational,3,fifo,total_score,28,2,2
normal,operational,4,cpsat,total_score,27,2,2
normal,operational,5,greedy,total_score,22,2,2
normal,computational,1,fifo,total_score,5,1,0
normal,computational,2,greedy,total_score,4,0,0
normal,computational,3,astar,total_score,3,0,0
normal,computational,4,cpsat,total_score,2,0,0
normal,computational,4,simulated_annealing,total_score,2,0,0
high_demand,balanced,1,astar,balanced_score,0.94,0,0
high_demand,balanced,2,fifo,balanced_score,0.86,0,0
high_demand,balanced,3,simulated_annealing,balanced_score,0.853333,0,0
high_demand,balanced,4,cpsat,balanced_score,0.79,0,0
high_demand,balanced,5,greedy,balanced_score,0.763333,0,0
high_demand,clinical,1,astar,total_score,30,6,5
high_demand,clinical,2,simulated_annealing,total_score,29,5,5
high_demand,clinical,3,cpsat,total_score,27,3,3
high_demand,clinical,3,fifo,total_score,27,3,3
high_demand,clinical,5,greedy,total_score,26,3,3
high_demand,operational,1,astar,total_score,35,7,4
high_demand,operational,2,simulated_annealing,total_score,31,3,3
high_demand,operational,3,cpsat,total_score,28,2,2
high_demand,operational,4,fifo,total_score,26,2,2
high_demand,operational,5,greedy,total_score,21,2,2
high_demand,computational,1,fifo,total_score,5,1,0
high_demand,computational,2,greedy,total_score,4,0,0
high_demand,computational,3,astar,total_score,3,0,0
high_demand,computational,4,cpsat,total_score,2,0,0
high_demand,computational,4,simulated_annealing,total_score,2,0,0
limited_resources,balanced,1,astar,balanced_score,0.94,0,0
limited_resources,balanced,2,simulated_annealing,balanced_score,0.863333,0,0
limited_resources,balanced,3,fifo,balanced_score,0.846667,0,0
limited_resources,balanced,4,cpsat,balanced_score,0.783333,0,0
limited_resources,balanced,5,greedy,balanced_score,0.753333,0,0
limited_resources,clinical,1,astar,total_score,30,6,5
limited_resources,clinical,2,simulated_annealing,total_score,29,5,5
limited_resources,clinical,3,cpsat,total_score,26,3,3
limited_resources,clinical,4,fifo,total_score,25,3,3
limited_resources,clinical,5,greedy,total_score,23,3,3
limited_resources,operational,1,astar,total_score,35,7,4
limited_resources,operational,2,simulated_annealing,total_score,32,4,4
limited_resources,operational,3,cpsat,total_score,29,4,4
limited_resources,operational,4,fifo,total_score,28,2,2
limited_resources,operational,5,greedy,total_score,25,2,2
limited_resources,computational,1,fifo,total_score,5,1,0
limited_resources,computational,2,greedy,total_score,4,0,0
limited_resources,computational,3,astar,total_score,3,0,0
limited_resources,computational,4,cpsat,total_score,2,0,0
limited_resources,computational,4,simulated_annealing,total_score,2,0,0
__overall__,balanced,1,astar,average_rank,1.0,3,1
__overall__,balanced,2,fifo,average_rank,2.3333,0,2
__overall__,balanced,3,simulated_annealing,average_rank,2.6667,0,2
__overall__,balanced,4,cpsat,average_rank,4.0,0,4
__overall__,balanced,5,greedy,average_rank,5.0,0,5
