scenario,metric_name,display_label,direction,rank,algorithm,mean,std,min,max,practical_tie_group
normal,average_resource_utilization,Average Resource Utilization,higher_is_better,1,greedy,0.3312,0.0138,0.3125,0.3563,1
normal,average_resource_utilization,Average Resource Utilization,higher_is_better,1,fifo,0.3306,0.0136,0.311,0.3547,1
normal,average_resource_utilization,Average Resource Utilization,higher_is_better,1,cpsat,0.3287,0.0122,0.3105,0.3455,1
normal,average_resource_utilization,Average Resource Utilization,higher_is_better,1,astar,0.3259,0.0112,0.3008,0.3475,1
normal,average_resource_utilization,Average Resource Utilization,higher_is_better,1,simulated_annealing,0.3252,0.0106,0.3088,0.3449,1
normal,average_time_to_service_start,Average Time To Service Start,lower_is_better,1,astar,67.79,20.4112,41.69,103.54,1
normal,average_time_to_service_start,Average Time To Service Start,lower_is_better,2,simulated_annealing,98.944,20.4731,61.14,137.92,2
normal,average_time_to_service_start,Average Time To Service Start,lower_is_better,3,cpsat,103.787,18.5281,65.77,132.82,3
normal,average_time_to_service_start,Average Time To Service Start,lower_is_better,3,fifo,104.891,23.3825,54.5,132.82,3
normal,average_time_to_service_start,Average Time To Service Start,lower_is_better,4,greedy,108.278,23.6922,56.75,132.82,4
normal,average_waiting_time,Average Waiting Time,lower_is_better,1,astar,67.79,20.4112,41.69,103.54,1
normal,average_waiting_time,Average Waiting Time,lower_is_better,2,simulated_annealing,98.944,20.4731,61.14,137.92,2
normal,average_waiting_time,Average Waiting Time,lower_is_better,3,cpsat,103.787,18.5281,65.77,132.82,3
normal,average_waiting_time,Average Waiting Time,lower_is_better,3,fifo,104.891,23.3825,54.5,132.82,3
normal,average_waiting_time,Average Waiting Time,lower_is_better,4,greedy,108.278,23.6922,56.75,132.82,4
normal,critical_late_patients,Critical Late Patients,lower_is_better,1,astar,7.0,2.8636,1.0,11.0,1
normal,critical_late_patients,Critical Late Patients,lower_is_better,2,simulated_annealing,7.5,3.1064,1.0,12.0,2
normal,critical_late_patients,Critical Late Patients,lower_is_better,2,cpsat,7.6,2.9052,2.0,12.0,2
normal,critical_late_patients,Critical Late Patients,lower_is_better,2,fifo,7.6,2.9052,2.0,12.0,2
normal,critical_late_patients,Critical Late Patients,lower_is_better,2,greedy,7.6,2.9052,2.0,12.0,2
normal,critical_patients_started_immediately,Critical Patients Started Immediately,higher_is_better,1,astar,0.3,0.4583,0.0,1.0,1
normal,critical_patients_started_immediately,Critical Patients Started Immediately,higher_is_better,1,cpsat,0.3,0.4583,0.0,1.0,1
normal,critical_patients_started_immediately,Critical Patients Started Immediately,higher_is_better,1,fifo,0.3,0.4583,0.0,1.0,1
normal,critical_patients_started_immediately,Critical Patients Started Immediately,higher_is_better,1,greedy,0.3,0.4583,0.0,1.0,1
normal,critical_patients_started_immediately,Critical Patients Started Immediately,higher_is_better,1,simulated_annealing,0.3,0.4583,0.0,1.0,1
normal,critical_patients_waited,Critical Patients Waited,lower_is_better,1,astar,1.4,1.0198,0.0,3.0,1
normal,critical_patients_waited,Critical Patients Waited,lower_is_better,1,cpsat,1.4,1.0198,0.0,3.0,1
normal,critical_patients_waited,Critical Patients Waited,lower_is_better,1,fifo,1.4,1.0198,0.0,3.0,1
normal,critical_patients_waited,Critical Patients Waited,lower_is_better,1,greedy,1.4,1.0198,0.0,3.0,1
normal,critical_patients_waited,Critical Patients Waited,lower_is_better,1,simulated_annealing,1.4,1.0198,0.0,3.0,1
normal,max_waiting_time,Maximum Waiting Time,lower_is_better,1,astar,193.9,74.5781,89.0,317.0,1
normal,max_waiting_time,Maximum Waiting Time,lower_is_better,2,fifo,238.9,49.111,167.0,332.0,2
normal,max_waiting_time,Maximum Waiting Time,lower_is_better,3,cpsat,244.2,38.9636,190.0,332.0,3
normal,max_waiting_time,Maximum Waiting Time,lower_is_better,3,simulated_annealing,245.2,37.5361,207.0,332.0,3
normal,max_waiting_time,Maximum Waiting Time,lower_is_better,4,greedy,250.5,52.3302,167.0,332.0,4
normal,patients_deteriorated_while_waiting,Patients Deteriorated While Waiting,lower_is_better,1,astar,15.4,0.6633,14.0,16.0,1
normal,patients_deteriorated_while_waiting,Patients Deteriorated While Waiting,lower_is_better,1,simulated_annealing,15.5,0.5,15.0,16.0,1
normal,patients_deteriorated_while_waiting,Patients Deteriorated While Waiting,lower_is_better,1,cpsat,15.6,0.4899,15.0,16.0,1
normal,patients_deteriorated_while_waiting,Patients Deteriorated While Waiting,lower_is_better,1,fifo,15.6,0.4899,15.0,16.0,1
normal,patients_deteriorated_while_waiting,Patients Deteriorated While Waiting,lower_is_better,1,greedy,15.6,0.4899,15.0,16.0,1
normal,services_started_from_arrival,Services Started From Arrival,higher_is_better,1,astar,2.3,0.4583,2.0,3.0,1
normal,services_started_from_arrival,Services Started From Arrival,higher_is_better,1,cpsat,2.3,0.4583,2.0,3.0,1
normal,services_started_from_arrival,Services Started From Arrival,higher_is_better,1,fifo,2.3,0.4583,2.0,3.0,1
normal,services_started_from_arrival,Services Started From Arrival,higher_is_better,1,greedy,2.3,0.4583,2.0,3.0,1
normal,services_started_from_arrival,Services Started From Arrival,higher_is_better,1,simulated_annealing,2.3,0.4583,2.0,3.0,1
normal,services_started_from_service_end,Services Started From Service End,higher_is_better,1,astar,10.8,0.6,10.0,12.0,1
normal,services_started_from_service_end,Services Started From Service End,higher_is_better,1,simulated_annealing,10.8,0.7483,10.0,12.0,1
normal,services_started_from_service_end,Services Started From Service End,higher_is_better,2,cpsat,10.4,0.9165,9.0,12.0,2
normal,services_started_from_service_end,Services Started From Service End,higher_is_better,2,fifo,10.2,1.077,9.0,12.0,2
normal,services_started_from_service_end,Services Started From Service End,higher_is_better,3,greedy,10.1,0.9434,9.0,11.0,3
normal,total_clinical_impact,Total Clinical Impact,lower_is_better,1,simulated_annealing,47809.96,10447.6842,30681.75,61896.4,1
normal,total_clinical_impact,Total Clinical Impact,lower_is_better,1,astar,48524.125,10894.5189,31392.75,64586.25,1
normal,total_clinical_impact,Total Clinical Impact,lower_is_better,2,cpsat,49422.9,10180.6797,33255.5,63792.4,2
normal,total_clinical_impact,Total Clinical Impact,lower_is_better,2,fifo,49972.97,10214.0605,33928.5,65448.5,2
normal,total_clinical_impact,Total Clinical Impact,lower_is_better,3,greedy,50944.335,10244.9807,34758.9,67316.75,3
normal,total_planning_overhead_time,Total Planning Overhead Time,lower_is_better,1,fifo,3.05,0.05,3.0,3.1,1
normal,total_planning_overhead_time,Total Planning Overhead Time,lower_is_better,2,greedy,9.15,0.15,9.0,9.3,2
normal,total_planning_overhead_time,Total Planning Overhead Time,lower_is_better,3,astar,30.5,0.5,30.0,31.0,3
normal,total_planning_overhead_time,Total Planning Overhead Time,lower_is_better,4,cpsat,45.75,0.75,45.0,46.5,4
normal,total_planning_overhead_time,Total Planning Overhead Time,lower_is_better,4,simulated_annealing,45.75,0.75,45.0,46.5,4
normal,treated_patients,Treated Patients,higher_is_better,1,astar,13.1,0.5385,12.0,14.0,1
normal,treated_patients,Treated Patients,higher_is_better,1,simulated_annealing,13.1,0.7,12.0,14.0,1
normal,treated_patients,Treated Patients,higher_is_better,2,cpsat,12.7,0.781,11.0,14.0,2
normal,treated_patients,Treated Patients,higher_is_better,2,fifo,12.5,0.8062,11.0,14.0,2
normal,treated_patients,Treated Patients,higher_is_better,3,greedy,12.4,0.6633,11.0,13.0,3
normal,untreated_patients,Untreated Patients,lower_is_better,1,astar,4.9,0.5385,4.0,6.0,1
normal,untreated_patients,Untreated Patients,lower_is_better,1,simulated_annealing,4.9,0.7,4.0,6.0,1
normal,untreated_patients,Untreated Patients,lower_is_better,2,cpsat,5.3,0.781,4.0,7.0,2
normal,untreated_patients,Untreated Patients,lower_is_better,3,fifo,5.5,0.8062,4.0,7.0,3
normal,untreated_patients,Untreated Patients,lower_is_better,3,greedy,5.6,0.6633,5.0,7.0,3
high_demand,average_resource_utilization,Average Resource Utilization,higher_is_better,1,greedy,0.336,0.0118,0.3188,0.3548,1
high_demand,average_resource_utilization,Average Resource Utilization,higher_is_better,1,fifo,0.3358,0.0118,0.3175,0.3548,1
high_demand,average_resource_utilization,Average Resource Utilization,higher_is_better,1,cpsat,0.3325,0.0116,0.3136,0.3548,1
high_demand,average_resource_utilization,Average Resource Utilization,higher_is_better,1,astar,0.3293,0.0121,0.3115,0.3514,1
high_demand,average_resource_utilization,Average Resource Utilization,higher_is_better,2,simulated_annealing,0.3286,0.0102,0.3121,0.3455,2
high_demand,average_time_to_service_start,Average Time To Service Start,lower_is_better,1,astar,116.87,14.5984,92.43,139.93,1
high_demand,average_time_to_service_start,Average Time To Service Start,lower_is_better,2,simulated_annealing,143.955,12.3146,122.23,158.67,2
high_demand,average_time_to_service_start,Average Time To Service Start,lower_is_better,3,cpsat,153.635,13.0698,120.92,168.85,3
high_demand,average_time_to_service_start,Average Time To Service Start,lower_is_better,4,fifo,158.526,11.395,137.21,172.85,4
high_demand,average_time_to_service_start,Average Time To Service Start,lower_is_better,5,greedy,161.962,14.4266,129.0,178.54,5
high_demand,average_waiting_time,Average Waiting Time,lower_is_better,1,astar,116.87,14.5984,92.43,139.93,1
high_demand,average_waiting_time,Average Waiting Time,lower_is_better,2,simulated_annealing,143.955,12.3146,122.23,158.67,2
high_demand,average_waiting_time,Average Waiting Time,lower_is_better,3,cpsat,153.635,13.0698,120.92,168.85,3
high_demand,average_waiting_time,Average Waiting Time,lower_is_better,4,fifo,158.526,11.395,137.21,172.85,4
high_demand,average_waiting_time,Average Waiting Time,lower_is_better,5,greedy,161.962,14.4266,129.0,178.54,5
high_demand,critical_late_patients,Critical Late Patients,lower_is_better,1,astar,12.6,3.7736,7.0,18.0,1
high_demand,critical_late_patients,Critical Late Patients,lower_is_better,2,cpsat,13.0,3.5777,7.0,18.0,2
high_demand,critical_late_patients,Critical Late Patients,lower_is_better,2,fifo,13.0,3.5777,7.0,18.0,2
high_demand,critical_late_patients,Critical Late Patients,lower_is_better,2,greedy,13.0,3.5777,7.0,18.0,2
high_demand,critical_late_patients,Critical Late Patients,lower_is_better,2,simulated_annealing,13.1,3.5341,7.0,18.0,2
high_demand,critical_patients_started_immediately,Critical Patients Started Immediately,higher_is_better,1,astar,0.3,0.4583,0.0,1.0,1
high_demand,critical_patients_started_immediately,Critical Patients Started Immediately,higher_is_better,1,cpsat,0.3,0.4583,0.0,1.0,1
high_demand,critical_patients_started_immediately,Critical Patients Started Immediately,higher_is_better,1,fifo,0.3,0.4583,0.0,1.0,1
high_demand,critical_patients_started_immediately,Critical Patients Started Immediately,higher_is_better,1,greedy,0.3,0.4583,0.0,1.0,1
high_demand,critical_patients_started_immediately,Critical Patients Started Immediately,higher_is_better,1,simulated_annealing,0.3,0.4583,0.0,1.0,1
high_demand,critical_patients_waited,Critical Patients Waited,lower_is_better,1,astar,1.8,1.1662,0.0,3.0,1
high_demand,critical_patients_waited,Critical Patients Waited,lower_is_better,1,cpsat,1.8,1.1662,0.0,3.0,1
high_demand,critical_patients_waited,Critical Patients Waited,lower_is_better,1,fifo,1.8,1.1662,0.0,3.0,1
high_demand,critical_patients_waited,Critical Patients Waited,lower_is_better,1,greedy,1.8,1.1662,0.0,3.0,1
high_demand,critical_patients_waited,Critical Patients Waited,lower_is_better,1,simulated_annealing,1.8,1.1662,0.0,3.0,1
