scenario,algorithm,metric_name,mean,std,min,max,replications
normal,fifo,treated_patients,12.5,0.8062,11.0,14.0,10
normal,fifo,untreated_patients,5.5,0.8062,4.0,7.0,10
normal,fifo,number_of_initial_assessments,18.0,0.0,18.0,18.0,10
normal,fifo,services_started_from_arrival,2.3,0.4583,2.0,3.0,10
normal,fifo,services_started_from_service_end,10.2,1.077,9.0,12.0,10
normal,fifo,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
normal,fifo,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
normal,fifo,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
normal,fifo,average_time_to_service_start,104.891,23.3825,54.5,132.82,10
normal,fifo,patients_deteriorated_while_waiting,15.6,0.4899,15.0,16.0,10
normal,fifo,critical_patients_waited,1.4,1.0198,0.0,3.0,10
normal,fifo,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
normal,fifo,average_waiting_time,104.891,23.3825,54.5,132.82,10
normal,fifo,max_waiting_time,238.9,49.111,167.0,332.0,10
normal,fifo,critical_late_patients,7.6,2.9052,2.0,12.0,10
normal,fifo,total_clinical_impact,49972.97,10214.0605,33928.5,65448.5,10
normal,fifo,average_resource_utilization,0.3306,0.0136,0.311,0.3547,10
normal,fifo,total_doctor_round_time,33.71,2.4777,29.3,37.2,10
normal,fifo,number_of_doctor_rounds,30.5,0.5,30.0,31.0,10
normal,fifo,average_doctor_round_duration,1.1055,0.0838,0.9767,1.24,10
normal,fifo,total_planning_overhead_time,3.05,0.05,3.0,3.1,10
normal,greedy,treated_patients,12.4,0.6633,11.0,13.0,10
normal,greedy,untreated_patients,5.6,0.6633,5.0,7.0,10
normal,greedy,number_of_initial_assessments,18.0,0.0,18.0,18.0,10
normal,greedy,services_started_from_arrival,2.3,0.4583,2.0,3.0,10
normal,greedy,services_started_from_service_end,10.1,0.9434,9.0,11.0,10
normal,greedy,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
normal,greedy,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
normal,greedy,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
normal,greedy,average_time_to_service_start,108.278,23.6922,56.75,132.82,10
normal,greedy,patients_deteriorated_while_waiting,15.6,0.4899,15.0,16.0,10
normal,greedy,critical_patients_waited,1.4,1.0198,0.0,3.0,10
normal,greedy,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
normal,greedy,average_waiting_time,108.278,23.6922,56.75,132.82,10
normal,greedy,max_waiting_time,250.5,52.3302,167.0,332.0,10
normal,greedy,critical_late_patients,7.6,2.9052,2.0,12.0,10
normal,greedy,total_clinical_impact,50944.335,10244.9807,34758.9,67316.75,10
normal,greedy,average_resource_utilization,0.3312,0.0138,0.3125,0.3563,10
normal,greedy,total_doctor_round_time,40.17,2.5215,35.8,44.1,10
normal,greedy,number_of_doctor_rounds,30.5,0.5,30.0,31.0,10
normal,greedy,average_doctor_round_duration,1.3173,0.0851,1.1933,1.47,10
normal,greedy,total_planning_overhead_time,9.15,0.15,9.0,9.3,10
normal,astar,treated_patients,13.1,0.5385,12.0,14.0,10
normal,astar,untreated_patients,4.9,0.5385,4.0,6.0,10
normal,astar,number_of_initial_assessments,18.0,0.0,18.0,18.0,10
normal,astar,services_started_from_arrival,2.3,0.4583,2.0,3.0,10
normal,astar,services_started_from_service_end,10.8,0.6,10.0,12.0,10
normal,astar,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
normal,astar,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
normal,astar,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
normal,astar,average_time_to_service_start,67.79,20.4112,41.69,103.54,10
normal,astar,patients_deteriorated_while_waiting,15.4,0.6633,14.0,16.0,10
normal,astar,critical_patients_waited,1.4,1.0198,0.0,3.0,10
normal,astar,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
normal,astar,average_waiting_time,67.79,20.4112,41.69,103.54,10
normal,astar,max_waiting_time,193.9,74.5781,89.0,317.0,10
normal,astar,critical_late_patients,7.0,2.8636,1.0,11.0,10
normal,astar,total_clinical_impact,48524.125,10894.5189,31392.75,64586.25,10
